Unnamed: 0,ID,Fullname,Birthday,Sex,Hometown,Jobtype,Salary,Marital Status
53,123456789012,Nguyễn Văn Anh,01/03/1990,Male,Hồ Chí Minh,Software Engineer,20.0,Single
54,123456789012,Nguyễn Thị Minh Khai,15/08/1972,Female,Hải Dương,Teacher,450.0,Married
55,123456789123,Nguyễn Thị Kim Anh,12/06/1980,Female,Bình Định,Teacher,500.0,Married
56,123456789012,Nguyễn Văn Anh,30/06/1985,Female,Phú Yên,Teacher,20.0,Single
57,123456789123,Nguyễn Văn A,20/05/1990,Male,Tây Ninh,Software Engineer,30.0,Single
58,123456789012,Nguyễn Văn Anh,12/08/1985,Male,Kon Tum,Engineer,50.0,Married
59,123456789012,Nguyễn Văn Anh,25/03/1992,Male,Phú Thọ,Software Engineer,50.0,Single
60,345678912345,Nguyễn Văn An,15/06/1985,Male,Đà Nẵng,Software Engineer,15.0,Single
61,123456789012,Nguyễn Văn A,12/12/1990,Male,Bạc Liêu,Software Engineer,500.0,Married
62,123456789012,Nguyễn Văn A,16/07/1990,Male,Hà Tĩnh,Engineer,700.0,Married
63,123456789101,Nguyễn Văn An,20/11/1992,Male,Hà Nam,Engineer,150.0,Single
64,123456789012,Nguyễn Văn Anh,23/07/1990,Female,Hậu Giang,Teacher,15.0,Single
65,123456789012,Nguyễn Thị Lan,25/08/1992,Female,Tuyên Quang,Software Engineer,15.0,Single
66,123456789012,Nguyễn Thị Thanh Hảo,23/04/1995,Female,Hà Nội,Teacher,500.0,Single
67,123456789123,Nguyễn Thị Minh Khai,21/05/1990,Female,Quảng Trị,Teacher,15.0,Single
68,123456789012,Nguyễn Văn An,23/07/1995,Male,Thái Nguyên,Engineer,500.0,Single
69,123456789012,Nguyễn Văn Minh,01/03/1985,Male,Đồng Nai,Engineer,500.0,Married
70,123456789012,Nguyễn Văn An,16/04/1990,Male,Thái Nguyên,Software Developer,15.0,Single
71,123456789012,Nguyễn Văn An,25/07/1992,Male,Hà Nội,Software Engineer,30.0,Single
72,123456789012,Nguyễn Văn Quang,16/07/1985,Male,Thừa Thiên Huế,Teacher,30.0,Married
73,382764526381,Nguyễn Thị Minh Châu,16/07/1990,Female,Lai Châu,Doctor,390.0,Married
74,123456789012,Nguyễn Văn An,12/04/1990,Male,Nghệ An,Software Developer,20.0,Single
75,123456789012,Nguyễn Văn Anh,24/06/1992,Male,Thái Bình,Software Developer,30.0,Single
76,123456789012,Nguyễn Thị Bích Hạnh,11/12/1985,Female,Bình Định,Teacher,350.0,Single
77,123456789101,Nguyễn Văn A,12/08/1985,Male,Cà Mau,Teacher,15.0,Single
78,102938475619,Nguyễn Văn A,23/07/1991,Male,Bình Thuận,Software Engineer,30.0,Single
79,123456789012,Nguyễn Thị Minh Khai,15/02/1985,Female,Đắk Lắk,Teacher,20.0,Married
80,123456789012,Nguyễn Minh Thư,25/03/1990,Female,Bà Rịa - Vũng Tàu,High School Teacher,450.0,Married
81,123456789012,Nguyễn Văn Anh,25/06/1990,Male,Tiền Giang,Software Engineer,15.0,Single
82,783456123001,Nguyễn Văn Anh,21/04/1998,Male,Lai Châu,Software Engineer,20.0,Single
83,371295718634,Nguyễn Thị Lan,12/05/1991,Female,Quảng Trị,Accountant,600.0,Married
84,123456789012,Nguyễn Văn A,20/05/1990,Male,Vĩnh Long,Software Engineer,25.0,Single
85,123456789012,Nguyễn Văn An,25/06/1985,Male,Kon Tum,Software Engineer,700.0,Married
86,123456789012,Nguyễn Văn An,20/05/1990,Male,Bắc Kạn,Software Engineer,500.0,Single
87,987654321098,Nguyễn Thị Minh Khai,25/05/1990,Female,Vĩnh Long,Teacher,15.0,Single
88,123456789123,Trần Quang Huy,25/05/1988,Male,Hà Nam,Software Engineer,500.0,Single
89,123456789012,Nguyễn Văn Anh,22/07/1992,Female,Bình Dương,Teacher,20.0,Single
90,123456789012,Nguyễn Thanh Hung,22/11/1987,Male,Nam Định,Software Engineer,200.0,Married
91,123456789012,Nguyễn Văn An,20/12/1990,Male,Hải Phòng,Software Engineer,15.0,Single
92,123456789012,Nguyễn Thị Anh Dao,23/05/1994,Female,Ninh Thuận,Teacher,10.0,Single
93,123456789012,Nguyễn Văn A,01/03/1985,Male,Hưng Yên,Software Engineer,25.0,Married
94,123456789012,Nguyễn Thị Minh Khai,20/04/1985,Female,Hưng Yên,Teacher,18.0,Single
95,239483759102,Nguyễn Văn Thanh,08/12/1987,Male,Đắk Lắk,Software Engineer,25.0,Single
96,523676458391,Nguyễn Hồng Lâm,15/02/1987,Male,Hậu Giang,Software Engineer,20.0,Single
97,123456789012,Nguyễn Văn An,20/04/1992,Male,Thái Nguyên,Software Developer,25.0,Single
98,123456789012,Trần Thị Mai,12/06/1985,Female,Quảng Ngãi,Elementary School Teacher,15.0,Married
99,683940129874,Nguyễn Văn Thanh,10/04/1985,Male,Bình Thuận,Software Engineer,20.0,Married
100,563820949182,Nguyễn Thị Minh Khai,12/08/1990,Female,Ninh Thuận,Teacher,17.0,Single
101,123456789012,Nguyễn Văn An,28/05/1990,Male,Đà Nẵng,Software developer,900.0,Single
102,123456789123,Nguyễn Văn A,25/07/1980,Male,Gia Lai,Engineer,500.0,Married
103,123456789012,Nguyễn Văn Anh,23/05/1990,Male,Tây Ninh,Software Engineer,500.0,Single
104,678456123789,Nguyễn Thị Anh Thu,18/04/1991,Female,Bình Phước,Teacher,800.0,Married
105,839493029483,Nguyễn Văn An,25/06/1992,Male,Hồ Chí Minh,Software Engineer,500.0,Single
106,123456789012,Nguyễn Văn A,20/02/1995,Male,Hà Nội,Software Developer,15.0,Single
107,123456789012,Nguyễn Thị Minh Khai,20/10/1990,Female,Đồng Nai,Teacher,15.0,Single
108,123456789012,Nguyễn Văn Thành,15/03/1991,Male,Nghệ An,Software Engineer,20.0,Single
109,123456789012,Nguyễn Văn An,26/07/1991,Male,Gia Lai,Software Engineer,25.0,Single
110,123456789012,Nguyễn Văn Anh,31/03/1982,Female,Ninh Thuận,Teacher,15.0,Married
111,123456789012,Nguyễn Thị Minh Châu,18/07/1990,Female,Bình Thuận,Software Engineer,23.0,Single
112,123456789123,Nguyễn Văn Anh,25/05/1995,Male,Bình Phước,Software Developer,35.0,Single
113,123456789012,Nguyễn Văn A,16/07/1980,Male,Đắk Nông,Engineer,20.0,Married
114,345678912345,Nguyễn Thị Minh Khai,24/10/1990,Female,Cao Bằng,Teacher,10.0,Single
115,123456789012,Nguyễn Văn A,12/07/1990,Male,Thái Bình,Software Developer,500.0,Married
116,476399882113,Nguyễn Thanh Tùng,15/08/1982,Male,Lạng Sơn,Software Developer,20.0,Married
117,123456789012,Nguyễn Văn A,12/05/1980,Male,Bạc Liêu,Engineer,350.0,Married
118,123456789012,Nguyễn Văn Anh,25/04/1990,Male,Bến Tre,Software Engineer,200.0,Single
119,123456789012,Nguyễn Văn A,25/04/1985,Male,Bà Rịa - Vũng Tàu,Engineer,500.0,Single
120,123456789123,Nguyễn Văn An,01/01/1990,Male,Gia Lai,teacher,12.0,Married
121,123456789012,Nguyễn Văn A,24/05/1992,Male,Ninh Bình,Engineer,700.0,Single
122,123456789012,Nguyễn Thị Minh Anh,05/04/1985,Female,Nghệ An,Senior Software Engineer,360.0,Married
123,123456789012,Nguyễn Văn A,23/06/1985,Male,Hà Tĩnh,Engineer,500.0,Married
124,123456789012,Nguyễn Văn A,12/07/1985,Male,Đà Nẵng,Software Engineer,500.0,Married
125,123456789012,Nguyễn Thị Minh Khai,15/08/1985,Female,Yên Bái,Teacher,15.0,Single
126,123456789012,Nguyễn Văn An,20/07/1992,Male,Hồ Chí Minh,Software Developer,17.0,Single
127,123456789012,Trần Quang Khai,07/09/1985,Male,Gia Lai,Software Engineer,500.0,Married
128,123456789123,Nguyễn Văn A,01/01/1990,Male,Kon Tum,Engineer,500.0,Married
129,123456789012,Nguyễn Văn An,20/04/1990,Male,Đắk Lắk,Software Engineer,9.0,Single
130,123456789012,Nguyễn Văn Đức,03/03/1988,Male,Khánh Hòa,Software Engineer,15.0,Single
131,912345678901,Nguyễn Văn A,25/06/1992,Male,Ninh Thuận,Engineer,500.0,Single
132,123456789012,Nguyễn Văn Anh,05/12/1982,Female,Cà Mau,Teacher,300.0,Married
133,123456789012,Nguyễn Văn An,12/12/1985,Male,Hà Nội,Engineer,35.0,Married
134,492738192837,Nguyễn Văn A,01/01/1992,Male,Khánh Hòa,software engineer,20.0,Single
135,123456789123,Nguyễn Thanh Hải,25/04/1995,Male,Hồ Chí Minh,Engineer,650.0,Single
136,123456789012,Nguyễn Thị Minh Khai,21/05/1980,Female,Ninh Thuận,Engineer,700.0,Married
137,345678123456,Nguyễn Văn Anh,20/03/1992,Male,Sóc Trăng,Software Developer,50.0,Single
138,123456789012,Nguyễn Văn A,15/06/1980,Male,Nghệ An,Software Engineer,30.0,Married
139,532798134638,Nguyễn Văn An,21/06/1990,Male,Hà Giang,Software Developer,210.0,Single
140,123456789123,Nguyễn Văn Anh,23/01/1990,Male,Lạng Sơn,Engineer,300.0,Single
141,123456789012,Nguyễn Thị Anh Linh,13/02/1990,Female,Hồ Chí Minh,Data Analyst,15.0,Single
142,123456789012,Nguyễn Văn An,04/12/1987,Male,Cà Mau,Software Developer,500.0,Married
143,123456789012,Nguyễn Văn A,24/05/1994,Male,Kiên Giang,Engineer,15.0,Single
144,123456789012,Trần Quang Hiếu,20/02/1985,Male,Hồ Chí Minh,Software Engineer,15.0,Married
145,123456789012,Nguyễn Văn Anh,12/08/1989,Female,Bình Phước,Doctor,500.0,Married
146,123456789012,Nguyễn Văn An,20/02/1991,Male,Đà Nẵng,Software Engineer,15.0,Single
147,539817263910,Nguyễn Văn Anh,15/05/1987,Male,Đắk Nông,Software Engineer,750.0,Single
148,123456789012,Trần Quang Minh,20/04/1993,Male,Hải Phòng,Engineer,550.0,Single
149,349827563412,Nguyễn Văn Minh,18/02/1980,Male,Đắk Lắk,Teacher,12.0,Married
150,123456789012,Nguyễn Văn A,25/05/1986,Male,Quảng Trị,Engineer,500.0,Married
151,234567891234,Nguyễn Thị Minh Châu,23/07/1992,Female,Khánh Hòa,Teacher,17.0,Married
152,578392019283,Nguyễn Thị Hồng Hạnh,15/07/1986,Female,Hà Tĩnh,Teacher,25.0,Married
153,123456789012,Nguyễn Văn An,20/04/1992,Male,Quảng Trị,Software Engineer,30.0,Single
154,123456789123,Nguyễn Văn Anh,20/06/1990,Female,Cần Thơ,Teacher,40.0,Single
155,123456789123,Nguyễn Văn Anh,15/07/1985,Male,Khánh Hòa,Engineer,500.0,Married
156,123456789123,Nguyễn Thị Minh Khai,09/02/1987,Female,Thừa Thiên Huế,Software Developer,30.0,Single
157,123456789123,Nguyễn Văn Anh,20/12/1990,Male,Tây Ninh,Engineer,500.0,Single
158,435612789234,Nguyễn Thị Minh Huong,15/03/1980,Female,Bạc Liêu,Teacher,15.0,Married
159,123456789012,Nguyễn Văn An,12/05/1990,Male,Đắk Lắk,Software Engineer,500.0,Single
160,985674123098,Nguyễn Thị Lan Anh,12/03/1979,Female,Đồng Nai,Teacher,15.0,Married
161,643157289124,Nguyễn Thị Hoa,12/09/1990,Female,Cần Thơ,Teacher,15.0,Married
162,892736461238,Nguyễn Văn A,15/02/1992,Male,Hà Giang,Teacher,500.0,Single
163,123456789012,Nguyễn Văn An,15/03/1983,Male,Bà Rịa - Vũng Tàu,Engineer,500.0,Married
164,123456789012,Nguyễn Văn Anh,22/03/1990,Male,Hà Nam,Engineer,350.0,Single
165,123456789012,Nguyễn Văn Minh,30/05/1995,Male,Tiền Giang,Software Engineer,40.0,Single
166,123456789012,Nguyễn Văn An,12/03/1986,Male,Đà Nẵng,Software Engineer,500.0,Married
167,123456789012,Phạm Văn Đức,22/08/1995,Male,Cần Thơ,Software Engineer,18.0,Single
168,123456789012,Nguyễn Văn Anh,12/04/1985,Male,Hồ Chí Minh,Software Developer,25.0,Single
169,365129874123,Nguyễn Thị Linh,20/04/1985,Female,Hải Dương,Teacher,20.0,Married
170,987654321123,Nguyễn Văn Anh,21/08/1987,Female,Hải Phòng,Software Engineer,37.0,Married
171,536789213420,Nguyễn Thị Minh Châu,15/02/1987,Female,Bạc Liêu,Accountant,650.0,Married
172,123456789012,Nguyễn Phạm Thanh Hà,21/05/1990,Female,Thái Nguyên,Teacher,13.0,Single
173,123456789123,Nguyễn Văn An,12/04/1980,Male,Hà Nam,Engineer,450.0,Married
174,123456789012,Nguyễn Văn A,10/02/1990,Male,Bình Thuận,Engineer,600.0,Single
175,123456789012,Nguyễn Văn Anh,20/10/1990,Male,Bắc Ninh,Engineer,15.0,Single
176,123456789012,Nguyễn Văn Anh,12/05/1990,Female,Hà Giang,Software Engineer,50.0,Single
177,123456789123,Nguyễn Thanh Tùng,12/12/1987,Male,Hồ Chí Minh,Software Developer,15.0,Single
178,123456789012,Nguyễn Văn An,01/01/1989,Male,Vĩnh Phúc,Software Developer,15.0,Single
179,123456789012,Phạm Văn Hoàng,01/03/1980,Male,Bình Dương,Engineer,30.0,Married
180,123456789012,Nguyễn Văn Anh,31/07/1982,Female,Đắk Nông,Teacher,20.0,Married
181,895123575469,Nguyễn Thị Anh Thu,25/08/1990,Female,Quảng Trị,Software Developer,30.0,Single
182,123456789012,Nguyễn Thị Hoa,15/04/1984,Female,Vĩnh Phúc,Teacher,25.0,Married
183,894572694281,Nguyễn Văn A,12/05/1987,Male,Hà Nam,Software Engineer,700.0,Married
184,123456789012,Nguyễn Văn An,25/05/1990,Male,Nam Định,Engineer,30.0,Single
185,536278912127,Nguyễn Thị Minh Khai,23/07/1990,Female,An Giang,Teacher,18.0,Single
186,734562891234,Nguyễn Văn Anh,23/07/1991,Male,Long An,Software Engineer,500.0,Single
187,985634128745,Nguyễn Thị Minh Khai,17/08/1989,Female,Ninh Bình,Software Engineer,45.0,Married
188,123456789012,Nguyễn Thị Minh Khai,12/10/1986,Female,Vĩnh Long,Teacher,30.0,Married
189,123456789012,Nguyễn Văn Anh,12/03/1990,Male,Ninh Bình,Mechanical Engineer,500.0,Married
190,583792167912,Nguyễn Quốc Bảo,23/05/1990,Male,Cần Thơ,Software Engineer,15.0,Single
191,123456789012,Nguyễn Văn A,20/05/1992,Male,Phú Yên,Teacher,10.0,Single
192,123456789012,Nguyễn Văn Anh,12/07/1978,Male,Tây Ninh,Engineer,20.0,Married
193,123456789012,Nguyễn Văn A,22/05/1992,Male,Hồ Chí Minh,Software Engineer,500.0,Single
194,123456789012,Nguyễn Văn A,22/03/1990,Male,Đồng Nai,Software Developer,30.0,Single
195,123456789012,Nguyễn Văn Minh,12/05/1986,Male,Bà Rịa - Vũng Tàu,Software Engineer,500.0,Single
196,123456789012,Nguyễn Văn An,20/02/1990,Male,Đắk Lắk,Programmer,400.0,Single
197,123456789012,Nguyễn Văn Anh,23/11/1990,Male,Vĩnh Phúc,Engineer,500.0,Single
198,123456789012,Nguyễn Văn Anh,20/05/1995,Male,Yên Bái,Engineer,500.0,Single
199,123456789012,Nguyễn Văn Minh,27/08/1992,Male,Hà Tĩnh,Software Engineer,25.0,Single
200,123456789012,Nguyễn Thị Minh Khai,12/05/1975,Female,Hồ Chí Minh,Teacher,30.0,Married
201,123456789012,Nguyễn Văn A,16/08/1979,Male,Bình Thuận,Engineer,350.0,Married
202,123456789012,Nguyễn Văn An,15/06/1990,Male,Cao Bằng,Software Engineer,55.0,Single
203,123456789012,Nguyễn Thịện Nhân,19/03/1983,Male,Bình Định,University Professor,500.0,Married
204,123456789012,Nguyễn Văn Anh,21/05/1995,Male,Hà Giang,Engineer,500.0,Single
205,987654321098,Nguyễn Văn An,20/12/1990,Male,Đồng Tháp,Software Engineer,30.0,Single
206,365982174612,Nguyễn Thị Mỹ Linh,21/07/1990,Female,Bến Tre,Architect,500.0,Married
207,123456789012,Nguyễn Văn Thanh,12/05/1973,Male,Bình Dương,Engineer,12.0,Married
208,123456789012,Nguyễn Văn Anh,12/07/1985,Male,Lai Châu,Software Engineer,25.0,Married
209,123456789012,Nguyễn Thị Anh Thu,15/04/1985,Female,Hải Dương,Teacher,350.0,Married
210,123456789012,Nguyễn Văn An,01/02/1990,Male,Quảng Nam,Software Engineer,20.0,Married
211,712384921837,Nguyễn Thị Huong,11/02/1990,Female,Nam Định,Teacher,30.0,Married
212,123456789012,Nguyễn Văn A,22/07/1992,Male,Cần Thơ,Software Engineer,500.0,Single
213,123456789012,Nguyễn Văn A,05/12/1990,Male,Tuyên Quang,Software Engineer,20.0,Single
214,123456789123,Nguyễn Văn Anh,12/07/1985,Male,Bình Thuận,Software Developer,20.0,Single
215,356789004125,Nguyễn Thị Mai,12/12/1990,Female,Hưng Yên,Engineer,350.0,Single
216,123456789012,Nguyễn Văn An,20/07/1988,Male,Vĩnh Long,Engineer,500.0,Married
217,981234567890,Nguyễn Văn Anh,23/07/1998,Male,Lâm Đồng,Software Engineer,20.0,Single
218,825748475721,Nguyễn Văn Anh,23/05/1992,Female,Hưng Yên,Teacher,45.0,Single
219,123456789012,Nguyễn Văn An,10/07/1980,Male,Bắc Ninh,Engineer,800.0,Married
220,123456789012,Nguyễn Thị Hong Nhung,25/05/1990,Female,Nam Định,Graphic Designer,7.0,Single
221,954378124128,Nguyễn Văn Anh,20/02/1989,Male,Thừa Thiên Huế,Software Engineer,500.0,Married
222,123456789012,Nguyễn Thị Kim Ngân,12/05/1985,Female,Thanh Hóa,Teacher,15.0,Married
223,123456789012,Nguyễn Văn An,24/05/1990,Male,Thái Bình,Engineer,600.0,Married
224,123456789123,Nguyễn Văn A,12/06/1980,Male,Sóc Trăng,Engineer,500.0,Married
225,123456789012,Nguyễn Thị Mai,15/07/1987,Female,Bạc Liêu,Psychologist,350.0,Married
226,986021374560,Nguyễn Thị Minh Khai,15/02/1990,Female,Thừa Thiên Huế,Doctor,500.0,Married
227,123456789012,Nguyễn Văn Anh,01/01/1990,Male,Đắk Lắk,Engineer,500.0,Single
228,324867194510,Nguyễn Văn Anh,12/03/1990,Female,Hà Tĩnh,Teacher,30.0,Single
229,123456789123,Nguyễn Văn An,20/12/1993,Male,Đà Nẵng,Engineer,200.0,Single
230,123456789012,Nguyễn Quang Huy,25/12/1995,Male,Bắc Kạn,Mechanical Engineer,78.0,Single
231,838382746903,Nguyễn Thị Thanh Huyen,05/09/1986,Female,Đà Nẵng,Nurse,15.0,Married
232,123456789012,Nguyễn Văn A,20/11/1990,Male,Cà Mau,Software Engineer,30.0,Single
233,123456789123,Nguyễn Phương Nam,29/05/1990,Male,Đà Nẵng,Software Engineer,20.0,Single
234,123456789012,Nguyễn Thị Linh,20/03/1992,Female,Bà Rịa - Vũng Tàu,Software Engineer,500.0,Single
235,123456789012,Nguyễn Văn Hùng,16/05/1990,Male,Lạng Sơn,Software Engineer,50.0,Single
236,123456789012,Nguyễn Văn An,14/06/1985,Male,Bình Định,Software Engineer,21.0,Single
237,123456789012,Nguyễn Văn An,12/05/1985,Male,Thừa Thiên Huế,Software Engineer,30.0,Married
238,123456789012,Nguyễn Văn Anh,16/08/1985,Male,Bắc Kạn,Sales Manager,350.0,Married
239,123456789012,Nguyễn Thị Minh Khai,23/05/1985,Female,Yên Bái,Teacher,20.0,Single
240,342785478542,Nguyễn Văn Minh,12/04/1985,Male,Nghệ An,Software engineer,35.0,Married
241,123456789012,Nguyễn Hoàng Nam,01/01/1985,Male,Cần Thơ,Software Engineer,500.0,Married
242,123456789123,Nguyễn Văn A,01/01/1990,Male,Lào Cai,Engineer,500.0,Married
243,109283746521,Nguyễn Văn An,12/06/1990,Male,Cà Mau,Teacher,10.0,Single
244,123456789012,Nguyễn Văn Dao,12/04/1995,Male,Vĩnh Long,Software Engineer,20.0,Single
245,123456789123,Nguyễn Văn An,12/04/1985,Male,Hải Phòng,Engineer,500.0,Married
246,584612378952,Nguyễn Thị Kim Ngân,12/05/1985,Female,Nam Định,Doctor,600.0,Married
247,234567890123,Nguyễn Văn Anh,03/04/1980,Female,Đắk Nông,Engineer,45.0,Married
248,123456789012,Nguyễn Văn Anh,12/05/1990,Male,Thái Nguyên,Software Developer,20.0,Single
249,123456789012,Nguyễn Thị Mai,15/04/1990,Female,Sơn La,Engineer,20.0,Married
250,123456789101,Nguyễn Thị Kim Ngân,01/04/1988,Female,Bình Định,Teacher,17.0,Married
251,123456789012,Nguyễn Thị Minh Châu,20/07/1989,Female,Bắc Ninh,Teacher,17.0,Married
252,123456789012,Nguyễn Văn An,24/07/1992,Male,Yên Bái,Software Engineer,20.0,Single
253,271429037864,Nguyễn Thịên Long,23/06/1990,Male,Yên Bái,Architect,345.0,Married
254,123456789012,Nguyễn Thị Kim Ngân,16/05/1994,Female,Hà Giang,Software Engineer,800.0,Single
255,123456789123,Nguyễn Văn Anh,20/07/1986,Male,Tuyên Quang,Engineer,500.0,Married
256,123456789012,Trần Quang Bảo,12/06/1987,Male,Quảng Trị,Software Engineer,500.0,Married
257,123456789012,Nguyễn Thị Hòa,12/04/1982,Female,Cần Thơ,Teacher,30.0,Married
258,123456789012,Nguyễn Thị Lan,25/04/1988,Female,Ninh Thuận,Engineer,15.0,Single
259,785213698203,Nguyễn Văn Anh,23/02/1991,Male,Bạc Liêu,Software Engineer,700.0,Single
260,123456789123,Nguyễn Văn A,12/07/1990,Male,Cao Bằng,Teacher,10.0,Single
261,123456789012,Nguyễn Thị Minh Châu,12/05/1988,Female,Vĩnh Phúc,Teacher,15.0,Married
262,123456789101,Nguyễn Thị Kim Chi,25/06/1985,Female,Cà Mau,Teacher,20.0,Married
263,123456789012,Nguyễn Văn Bình,14/07/1990,Male,Đà Nẵng,Software Engineer,20.0,Single
264,123456789012,Nguyễn Văn An,12/05/1987,Male,Lâm Đồng,Software Developer,20.0,Single
265,123456789012,Nguyễn Thị Minh Khai,25/06/1979,Female,Bạc Liêu,Teacher,20.0,Married
266,687493020282,Nguyễn Thị Minh Anh,25/02/1986,Female,Ninh Bình,Doctor,800.0,Married
267,123456789123,Nguyễn Văn Thanh,12/11/1978,Male,Hà Tĩnh,Doctor,500.0,Married
268,123456789012,Nguyễn Văn A,20/07/1985,Male,Bà Rịa - Vũng Tàu,Engineer,200.0,Married
269,123456789123,Nguyễn Thị Minh Khai,25/05/1984,Female,Tiền Giang,Teacher,15.0,Married
